;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Código da Escola;Nome da Escola;Loclização;Unidade da Federação;Município
;;;;
;;;;
PK_COD_ENTIDADE;Nome_Escola;Localizacao;UF;Municipio
41000021;AGOSTINHO STEFANELLO E E EF;Urbana;Paraná;ALTO PARANA
41000030;ALVINO MENDONCA C M E I VER;Urbana;Paraná;ALTO PARANA
41000048;ANA NERY C M E I;Urbana;Paraná;ALTO PARANA
41000064;CHAPEUZINHO VERMELHO E M EI EF;Urbana;Paraná;ALTO PARANA
41000072;CRISTIANO BARBON E M EF;Urbana;Paraná;ALTO PARANA
41000099;JOAO HONORIO LUIZ E M EI EF;Urbana;Paraná;ALTO PARANA
41000102;JULIA WANDERLEY E M EI EF;Urbana;Paraná;ALTO PARANA
41000110;LOURDES C BEDENDO E PROFA EI EF MOD E E;Urbana;Paraná;ALTO PARANA
41000129;MARISTELA E E EF;Urbana;Paraná;ALTO PARANA
41000153;RAINHA DA PAZ C E EM;Urbana;Paraná;ALTO PARANA
41000170;SANTA MARIA E E EF;Urbana;Paraná;ALTO PARANA
41000200;STELLA MARIS E M EI EF;Urbana;Paraná;ALTO PARANA
41000218;CARLOS DRUMOND ANDRADE ESC MUL-ENS FUND;Urbana;Paraná;AMAPORA
41000226;CECILIA MEIRELES E M E FUND;Urbana;Paraná;AMAPORA
41000250;MENINO JESUS E M ED INF ENS FUND;Urbana;Paraná;AMAPORA
41000269;OLAVO BILAC C E EF M;Urbana;Paraná;AMAPORA
41000358;CHAPEUZINHO VERMELHO C M E I;Urbana;Paraná;CRUZEIRO DO SUL
41000382;EURIDES C TENORIO E E EF;Urbana;Paraná;CRUZEIRO DO SUL
41000404;FLAVIO SARRAO E M PROF EI EF;Urbana;Paraná;CRUZEIRO DO SUL
41000480;ROMARIO MARTINS C E DR EM;Urbana;Paraná;CRUZEIRO DO SUL
41000510;ANTONIO FRANCISCO DE SOUZA E M EF;Urbana;Paraná;DIAMANTE DO NORTE
41000579;ISABEL ESC RUR MUL PRINCESA;Rural;Paraná;DIAMANTE DO NORTE
41000617;PEDRO I ESC RUR MUL DOM;Rural;Paraná;DIAMANTE DO NORTE
41000625;REYNALDO MASSI C E EF M PROFIS;Urbana;Paraná;DIAMANTE DO NORTE
41000641;JOAO TRIZZI C M E I;Urbana;Paraná;DIAMANTE DO NORTE
41000668;ARMANDO JOAO BATELOQUI E M EF;Urbana;Paraná;GUAIRACA
41000684;CANDIDO B FORTES C E EM;Urbana;Paraná;GUAIRACA
41000757;HUMBERTO A C BRANCO C E EF M;Urbana;Paraná;GUAIRACA
41000803;PINGO DE GENTE PRE ESC M EI;Urbana;Paraná;GUAIRACA
41000862;ANCHIETA E E PE EF;Urbana;Paraná;INAJA
41000927;RIO BRANCO C E BAR DO EF M;Urbana;Paraná;INAJA
41000951;CANTINHO FELIZ PRE ESC MUL EDUC INF;Urbana;Paraná;ITAUNA DO SUL
41000978;MACHADO DE ASSIS E E EF;Urbana;Paraná;ITAUNA DO SUL
41001001;RUI BARBOSA C E EM;Urbana;Paraná;ITAUNA DO SUL
